kommune_kode,kommune_name,region,population
101,København,Hovedstaden,671714
147,Frederiksberg,Hovedstaden,106150
151,Ballerup,Hovedstaden,53950
153,Brøndby,Hovedstaden,40990
155,Dragør,Hovedstaden,14474
157,Gentofte,Hovedstaden,75106
159,Gladsaxe,Hovedstaden,71185
161,Glostrup,Hovedstaden,25834
163,Herlev,Hovedstaden,32030
165,Albertslund,Hovedstaden,29262
167,Hvidovre,Hovedstaden,54228
169,Høje-Taastrup,Hovedstaden,60458
173,Lyngby-Taarbæk,Hovedstaden,58614
175,Rødovre,Hovedstaden,45138
183,Ishøj,Hovedstaden,24685
185,Tårnby,Hovedstaden,44214
187,Vallensbæk,Hovedstaden,18689
190,Furesø,Hovedstaden,42874
201,Allerød,Hovedstaden,26496
210,Fredensborg,Hovedstaden,42445
217,Helsingør,Hovedstaden,64244
219,Hillerød,Hovedstaden,55182
223,Hørsholm,Hovedstaden,25354
230,Rudersdal,Hovedstaden,57912
240,Egedal,Hovedstaden,46240
250,Frederikssund,Hovedstaden,47450
260,Halsnæs,Hovedstaden,31738
270,Gribskov,Hovedstaden,41787
400,Bornholm,Hovedstaden,38677
253,Greve,Sjælland,54120
259,Køge,Sjælland,63962
265,Roskilde,Sjælland,92697
269,Solrød,Sjælland,25040
306,Odsherred,Sjælland,31988
316,Holbæk,Sjælland,75009
320,Faxe,Sjælland,38143
326,Kalundborg,Sjælland,47954
329,Ringsted,Sjælland,36010
330,Slagelse,Sjælland,80959
336,Stevns,Sjælland,23842
340,Sorø,Sjælland,30853
350,Lejre,Sjælland,29879
360,Lolland,Sjælland,38533
370,Næstved,Sjælland,85163
376,Guldborgsund,Sjælland,59119
390,Vordingborg,Sjælland,44831
410,Middelfart,Syddanmark,40625
420,Assens,Syddanmark,40369
430,Faaborg-Midtfyn,Syddanmark,52328
440,Kerteminde,Syddanmark,24299
450,Nyborg,Syddanmark,32401
461,Odense,Syddanmark,213168
479,Svendborg,Syddanmark,60027
480,Nordfyns,Syddanmark,29179
482,Langeland,Syddanmark,11841
492,Ærø,Syddanmark,5766
510,Haderslev,Syddanmark,55218
530,Billund,Syddanmark,27200
540,Sønderborg,Syddanmark,74123
550,Tønder,Syddanmark,36174
561,Esbjerg,Syddanmark,114947
563,Fanø,Syddanmark,3332
573,Varde,Syddanmark,49468
575,Vejen,Syddanmark,42641
580,Aabenraa,Syddanmark,58405
607,Fredericia,Syddanmark,52939
615,Horsens,Syddanmark,98806
621,Kolding,Syddanmark,96214
630,Vejle,Syddanmark,123250
657,Herning,Midtjylland,90546
661,Holstebro,Midtjylland,59324
665,Lemvig,Midtjylland,18596
671,Struer,Midtjylland,20122
706,Syddjurs,Midtjylland,44394
707,Norddjurs,Midtjylland,36477
710,Favrskov,Midtjylland,49773
727,Odder,Midtjylland,24310
730,Randers,Midtjylland,100564
740,Silkeborg,Midtjylland,102753
741,Samsø,Midtjylland,3617
746,Skanderborg,Midtjylland,66352
751,Aarhus,Midtjylland,378361
756,Ikast-Brande,Midtjylland,43305
760,Ringkøbing-Skjern,Midtjylland,55405
766,Hedensted,Midtjylland,48578
773,Morsø,Midtjylland,19344
779,Skive,Midtjylland,44104
787,Thisted,Midtjylland,42572
791,Viborg,Midtjylland,97874
810,Brønderslev,Nordjylland,36529
813,Frederikshavn,Nordjylland,57523
820,Vesthimmerlands,Nordjylland,35632
825,Læsø,Nordjylland,1683
840,Rebild,Nordjylland,31280
846,Mariagerfjord,Nordjylland,41541
849,Jammerbugt,Nordjylland,37998
851,Aalborg,Nordjylland,226033
860,Hjørring,Nordjylland,62979
